File #,Agenda #,Name,Type,Title,Action
BL2023-1793,61,,Bill (Ordinance),An ordinance approving a Lease Agreement by and between the Metropolitan Government of Nashville and Davidson County acting by and through the Metropolitan Board of Education and East End Prep (Proposal No. 2023M-003AG-001).,
BL2023-1803,62,,Bill (Ordinance),"An ordinance authorizing The Metropolitan Government of Nashville and Davidson County to abandon existing public water mains, to relocate an existing public fire hydrant assembly, and to accept new public water main, for two properties located at 2600 Jess Neely Drive and 2555 West End Avenue, also known as Vanderbilt University Basketball Facility (MWS Project No. 22-WL-108 and Proposal No. 2023M-035ES-001).",
BL2023-1807,63,,Bill (Ordinance),"An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by changing from RS10 and RS15 to SP zoning on properties located at 4340 Longfellow Drive and 2646 Lock Two Road, at the current terminus of Longfellow Drive, partially located within a Planned Unit Development Overlay District (135.06 acres), to permit 234 residential units and a 75 bed assisted-care living facility, all of which is described herein (Proposal No. 2023SP-012-001).",
BL2023-1808,64,,Bill (Ordinance),"An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by cancelling a portion of a Planned Unit Development Overlay District for property located at 2646 Lock Two Road, north of Cain Harbor Road, zoned RS10 (76.21 acres), all of which is described herein (Proposal No. 18-86P-001).",
BL2023-1809,65,,Bill (Ordinance),"An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by cancelling a portion of an Institutional Overly for various properties on both sides of Gallatin Avenue and north of Douglas Avenue, located within the Nashville Auto Diesel College Institutional Overlay District, zoned CS, ORI, RM20, and RS5 (19.8 acres), all of which is described herein (Proposal No. 2005P-029-002).",
BL2023-1810,66,,Bill (Ordinance),"An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by amending a Specific Plan for properties located at 2143, 2145, and 2145B Goodrich Avenue, 2125 Buena Vista Pike and various properties located between Alpine Avenue and Goodrich Avenue, approximately 290 feet northwest of Buena Vista Pike, zoned SP and R8 (2.85 acres), to expand the boundary of the SP and to permit 11 additional multi-family residential units for a maximum of 37 units overall, all of which is described herein (Proposal No. 2019SP-014-003).",
BL2023-1811,67,,Bill (Ordinance),"An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by amending a Specific Plan on property located at 2850 Lebanon Pike, southwest of Munn Road, zoned SP and located in the Downtown Donelson Urban Design Overlay (4.95 acres), to permit 98 multi-family residential units, all of which is described herein (Proposal No. 2021SP-025-003).",
BL2023-1812,68,,Bill (Ordinance),"An ordinance to authorize building material restrictions and requirements for BL2023-1811, a proposed Specific Plan Zoning District located at 2850 Lebanon Pike, southwest of Munn Road, zoned SP and located in the Downtown Donelson Urban Design Overlay (4.95 acres), to permit 98 multi-family residential units, all of which is described herein (Proposal No. 2021SP-025-003). THE PROPOSED ORDINANCE REQUIRES CERTAIN MATERIALS TO BE RESTRICTED IN THE CONSTRUCTION OF BUILDINGS.",
BL2023-1813,69,,Bill (Ordinance),"An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by changing from RS5 to R6-A zoning for property located at 1717 Luton Street, approximately 450 feet south of East Trinity Lane (0.32 acres), all of which is described herein (Proposal No. 2023Z-001PR-001).",
BL2023-1818,70,,Bill (Ordinance),"An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by changing from AR2a, CS, and R15 to SP zoning on properties located at 2400 Pennington Bend Road (unnumbered) and McGavock Pike (unnumbered), approximately 61 feet north of Opry Mills Drive, (214.37 acres), to permit a mixed-use development, all of which is described herein (Proposal No. 2022SP-057-001).",
BL2023-1819,71,,Bill (Ordinance),"An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by changing from RS5 to RM9-A-NS zoning for property located at 322 Elberta Street, approximately 260 feet east of Nolensville Pike (0.43 acres), all of which is described herein (Proposal No. 2023Z-010PR-001).",
BL2023-1822,72,,Bill (Ordinance),"An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by cancelling an Urban Design Overlay District for properties located at 1609 McGavock Street, 115 16th Avenue South and 114 and 116 17th Avenue South, approximately 120 feet northwest of Division Street, zoned CF, located within the Music Row Urban Design Overlay District and Arts Center Redevelopment District (1.17 acres), all of which is described herein (Proposal No. 2001UD-002-012).",
BL2023-1823,73,,Bill (Ordinance),"An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by amending a Specific Plan for properties located at 272, 288, and 296 Broadmoor Drive, and 329, 341 and 349 Ben Allen Road, west of Ellington Parkway, zoned SP (51.64 acres), to permit a mixed use development with nonresidential uses and 482 multi-family residential units, all of which is described herein (Proposal No. 2017SP-034-003).",
BL2023-1824,74,,Bill (Ordinance),"An ordinance to authorize building material restrictions and requirements for BL2023-1823, a proposed Specific Plan Zoning District located at 272, 288, and 296 Broadmoor Drive, and 329, 341 and 349 Ben Allen Road, west of Ellington Parkway, zoned SP (51.64 acres), to permit a mixed use development with nonresidential uses and 482 multi-family residential units, all of which is described herein (Proposal No. 2017SP-034-003). THE PROPOSED ORDINANCE REQUIRES CERTAIN MATERIALS TO BE RESTRICTED IN THE CONSTRUCTION OF BUILDINGS.",
BL2023-1825,75,,Bill (Ordinance),"An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by amending a Specific Plan for properties located at 1201, 1203, 1205 and 1211 8th Avenue South, 809 Edgehill Ave and 1430 Hillside Avenue, approximately 75 feet east of Horton Avenue, zoned SP (7.63 acres), to amend zones 1, 2, 6, and the associated street sections. (Proposal #2018SP-026-009)",
BL2023-1826,76,,Bill (Ordinance),"An ordinance to authorize building material restrictions and requirements for BL2023-1825, a proposed Specific Plan Zoning District located at 1201, 1203, 1205 and 1211 8th Avenue South, 809 Edgehill Ave and 1430 Hillside Avenue, approximately 75 feet east of Horton Avenue, zoned SP (7.63 acres), to amend zones 1, 2, 6, and the associated street sections. (Proposal #2018SP-026-009) THE PROPOSED ORDINANCE REQUIRES CERTAIN MATERIALS TO BE RESTRICTED IN THE CONSTRUCTION OF BUILDINGS.",
BL2023-1827,77,,Bill (Ordinance),"An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by changing from R6, R40, and SP to SP zoning for properties located at 813 Watts Lane, 1201, 1210, 1211, 1216, 1222, and 1230 Watts Terrace and Watts Terrace (unnumbered), approximately 1,000 feet east of Charlotte Pike, (6.22 acres), to permit 71 multi-family residential units, all of which is described herein (Proposal No. 2022SP-045-001).",
BL2023-1828,78,,Bill (Ordinance),"An ordinance to authorize building material restrictions and requirements for BL2023-1827, a proposed Specific Plan Zoning District located at at 813 Watts Lane, 1201, 1210, 1211, 1216, 1222, and 1230 Watts Terrace and Watts Terrace (unnumbered), approximately 1,000 feet east of Charlotte Pike, (6.22 acres), to permit 71multi-family residential units, approximately 1,000 feet east of Charlotte Pike, (6.22 acres),all of which is described herein (Proposal No. 2022SP-045-001). THE PROPOSED ORDINANCE REQUIRES CERTAIN MATERIALS TO BE RESTRICTED IN THE CONSTRUCTION OF BUILDINGS.",
BL2023-1829,79,,Bill (Ordinance),"An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by changing from MUL to SP zoning for property located at 4500 Harding Pike, southwest of the corner of White Bridge Pike and Harding Pike (10.57 acres), to permit a mixed-use development, all of which is described herein (Proposal No. 2023SP-018-001).",
BL2023-1830,80,,Bill (Ordinance),"An ordinance to authorize building material restrictions and requirements for BL2023-1829, a proposed Specific Plan Zoning District located at 4500 Harding Pike, southwest of the corner of White Bridge Pike and Harding Pike (10.57 acres), to permit a mixed-use development, all of which is described herein (Proposal No. 2023SP-018-001). THE PROPOSED ORDINANCE REQUIRES CERTAIN MATERIALS TO BE RESTRICTED IN THE CONSTRUCTION OF BUILDINGS.",
BL2023-1831,81,,Bill (Ordinance),"An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by changing from RS7.5 to SP zoning on property located at 1017 Pierce Road, at the corner of Shannon Avenue and Pierce Road, to permit 33 multi-family residential units, (1.72 acres) all of which is described herein (Proposal No. 2023SP-024-001).",
BL2023-1832,82,,Bill (Ordinance),"An ordinance to authorize building material restrictions and requirements for BL2023-1831, a proposed Specific Plan Zoning District located at 1017 Pierce Road, at the corner of Shannon Avenue and Pierce Road, to permit 33 multi-family residential units, all of which is described herein (Proposal No. 2023SP-024-001). THE PROPOSED ORDINANCE REQUIRES CERTAIN MATERIALS TO BE RESTRICTED IN THE CONSTRUCTION OF BUILDINGS.",
BL2023-1833,83,,Bill (Ordinance),"An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by changing from RS7.5 to R8-A for property on 437 Patterson Street, east of Meade Ave (0.29 acres, all of which is described herein (Proposal No. 2023Z-026PR-001).",
BL2023-1835,84,,Bill (Ordinance),"An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by changing from CN to RM15-NS for property located at 2014 24th Avenue North, southeast of the intersection of Clarksville Pike and 24th Avenue North (0.19 acres), all of which is described herein (Proposal No. 2023Z-022PR-001).",
BL2023-1836,85,,Bill (Ordinance),"An ordinance to amend Title 17 of the Metropolitan Code of Laws, the Zoning Ordinance of The Metropolitan Government of Nashville and Davidson County, by changing from AR2a to SP zoning on a portion of property located at 6010 Pasquo Road, approximately 520 feet south of Nunahi Trail, (5.3 acres), to permit 20 multi-family residential units, all of which is described herein (Proposal No. 2022SP-087-001).",
BL2023-1837,86,,Bill (Ordinance),"An ordinance to authorize building material restrictions and requirements for BL2023-1836, a proposed Specific Plan Zoning District located at 6010 Pasquo Road, approximately 520 feet south of Nunahi Trail, (5.3 acres), to permit 20 multi-family residential units, all of which is described herein (Proposal No. 2022SP-087-001). THE PROPOSED ORDINANCE REQUIRES CERTAIN MATERIALS TO BE RESTRICTED IN THE CONSTRUCTION OF BUILDINGS.",
BL2023-1839,87,,Bill (Ordinance),"An ordinance codifying a residential landlord’s duty to register with the Metropolitan Department of Codes Administration pursuant to Tennessee Code Annotated Section 66-28-107, and authorizing the Department of Codes Administration to process and collect registration fees, impose and collect fines for noncompliance, and establish an administrative process for appeals of any such fines.",
BL2023-1840,88,,Bill (Ordinance),"An ordinance approving a lease agreement between the Metropolitan Government of Nashville and Davidson County and Little Big Properties, LLC for use of office space located at 150 2nd Avenue North, Nashville, Tennessee (Proposal No. 2023M-011AG-001).",
BL2023-1841,89,,Bill (Ordinance),"An ordinance authorizing Vortex, LLC c/o AJ Capital Partners to install, construct and maintain aerial and underground encroachments in the right of way located at 200 Broadway. (Proposal No. 2022M-033EN-001)",
BL2023-1842,90,,Bill (Ordinance),"An ordinance authorizing Starwood Capital Group Holdings, L.P. to install, construct and maintain aerial and underground encroachments in the right of way located at 710 Demonbreun Street. (Proposal No. 2022M-030EN-001)",
BL2023-1843,91,,Bill (Ordinance),An ordinance providing the honorary street name designation of “Rev. J. H. Johnson Way” for a portion of 4th Avenue North.,
BL2023-1844,92,,Bill (Ordinance),"An ordinance authorizing The Metropolitan Government of Nashville and Davidson County to abandon existing public water main, and to accept new public water main, for six properties located on University Avenue (MWS Project No. 22-WL-135 and Proposal No. 2023M-032ES-001).",
BL2023-1845,93,,Bill (Ordinance),"An ordinance authorizing The Metropolitan Government of Nashville and Davidson County to accept a new sanitary sewer main in addition to sanitary sewer manholes and easements for three properties located at 2130 Hobson Pike, 1273 Maritime Prt and Maritime Prt (unnumbered), also known as Hobson Flats (MWS Project No. 22-SL-208 and Proposal No. 2023M-040ES-001).",
BL2023-1846,94,,Bill (Ordinance),"An ordinance authorizing The Metropolitan Government of Nashville and Davidson County to abandon existing sanitary sewer mains and easements, and to accept new water and sanitary sewer mains, fire hydrant assemblies, sanitary sewer manholes and easements, for two properties located at 4154 Murfreesboro Pike and Maxwell Road (unnumbered), also known as Oliveri Phase 1 (MWS Project Nos. 22-WL-75 and 22-SL-158 and Proposal No. 2023M-042ES-001).",
BL2023-1847,95,,Bill (Ordinance),"An ordinance authorizing The Metropolitan Government of Nashville and Davidson County to abandon existing water main and easements, for two properties located at 333 B Douglas Avenue and 1310 B Lischey Avenue, also known as Starlet East Condominiums (MWS Project No. 22-WL-134 and Proposal No. 2023M-044ES-001).",
BL2023-1848,96,,Bill (Ordinance),"An ordinance authorizing The Metropolitan Government of Nashville and Davidson County to accept the relocation of an existing public fire hydrant assembly and a new public sanitary sewer manhole, for property located at 210 2nd Avenue North, also known as 2nd Avenue Streetscape Improvements - North Block (MWS Project Nos. 22-WL-142 and 22-SL-293 and Proposal No. 2023M-039ES-001).",
BL2023-1849,97,,Bill (Ordinance),"An ordinance authorizing The Metropolitan Government of Nashville and Davidson County to accept new public sanitary sewer mains, sanitary sewer force mains, sanitary sewer manholes and easements, for five properties located on East Hill Drive and Twin Hills Drive, also known as Riverview at Cumberland Hills (MWS Project No. 17-SL-246 and Proposal No. 2023M-046ES-001).",
BL2023-1850,98,,Bill (Ordinance),"An ordinance authorizing The Metropolitan Government of Nashville and Davidson County to accept public sanitary sewer main and sanitary sewer manhole, and to rehabilitate existing public sanitary sewer manholes, for two properties located on 820 and 828 Youngs Lane, also known as Cumberland View Villas development (MWS Project No. 22-SL-175 and Proposal No. 2023M-043ES-001).",
BL2023-1851,99,,Bill (Ordinance),"An ordinance authorizing The Metropolitan Government of Nashville and Davidson County to abandon existing public sanitary sewer main, and to accept new public sanitary sewer main and sanitary sewer manhole, for property located at 315 B Douglas Avenue (MWS Project No. 22-SL-212 and Proposal No. 2023M-037ES-001).",
BL2023-1852,100,,Bill (Ordinance),"An ordinance authorizing The Metropolitan Government of Nashville and Davidson County to accept new public water and sanitary sewer mains, fire hydrant assembly, sanitary sewer manholes and easements, for property located at Cane Ridge Road (unnumbered), also known as Cane Ridge Farms Phase 3 Section 3 (MWS Project Nos. 21-WL-119 and 21-SL-280 and Proposal No. 2023M-045ES-001).",
BL2023-1853,101,,Bill (Ordinance),"An ordinance authorizing The Metropolitan Government of Nashville and Davidson County to accept the relocation of a public fire hydrant assembly, for property located at 625 West Trinity Lane (MWS Project Nos. 22-WL-126 and Proposal No. 2023M-050ES-001).",
BL2023-1854,102,,Bill (Ordinance),"An ordinance authorizing The Metropolitan Government of Nashville and Davidson County to accept the relocation of a public fire hydrant assembly, for property located at 1404 Clinton Street, also known as Nelson’s Greenbrier Distillery (MWS Project No. 23-WL-09 and Proposal No. 2023M-047ES-001).",
BL2023-1855,103,,Bill (Ordinance),"An ordinance authorizing The Metropolitan Government of Nashville and Davidson County to accept new public water and sanitary sewer mains, fire hydrant assemblies, sanitary sewer manholes and easements, for seven properties located on Glencliff Road, also known as Noble Place Townhomes (MWS Project Nos. 22-WL-31 and 22-SL-74 and Proposal No. 2023M-051ES-001).",
BL2023-1856,104,,Bill (Ordinance),"An ordinance authorizing The Metropolitan Government of Nashville and Davidson County to construct public sanitary sewer mains and sanitary sewer manholes, and to acquire permanent and temporary easements through negotiations and acceptance needed for 15 properties located on Fain Street and J C Napier Street (Project No. 22-SG-239 and Proposal No. 2023M-038ES-001).",
,,,,Adjournment,
